33.0,158
20.0,117
1.0,25
6.0,19
40.0,103
23.0,14
13.0,174
50.0,63
43.0,197
35.0,60
26.0,144
38.0,72
21.0,72
35.0,144
45.0,42
5.0,132
30.0,174
12.0,111
22.0,134
35.0,61
36.0,61
13.0,74
15.0,93
43.0,182
23.0,90
19.0,66
5.0,65
18.0,58
19.0,87
29.0,170
8.0,55
24.0,78
32.0,5
15.0,111
30.0,34
33.0,166
19.0,47
27.0,171
20.0,191
13.0,99
33.0,34
37.0,21
43.0,58
50.0,22
19.0,199
29.0,78
25.0,128
49.0,170
30.0,9
13.0,36
39.0,181
8.0,103
15.0,198
9.0,177
23.0,54
49.0,74
42.0,1
47.0,178
43.0,66
41.0,42
1.0,110
27.0,66
35.0,160
30.0,164
19.0,129
5.0,62
38.0,46
29.0,167
2.0,144
29.0,142
39.0,146
29.0,9
30.0,12
36.0,61
39.0,16
45.0,169
48.0,102
21.0,106
5.0,38
44.0,38
44.0,34
46.0,152
26.0,8
14.0,146
16.0,96
21.0,181
29.0,151
33.0,88
19.0,158
50.0,7
47.0,62
49.0,25
22.0,79
24.0,1
25.0,28
27.0,78
40.0,62
47.0,64
45.0,199
20.0,31
25.0,53
45.0,7
26.0,175
28.0,44
24.0,43
6.0,9
24.0,170
13.0,73
41.0,90
39.0,122
45.0,88
34.0,66
45.0,164
24.0,173
26.0,54
35.0,100
14.0,175
23.0,132
22.0,79
3.0,158
34.0,53
28.0,152
18.0,167
36.0,44
3.0,194
5.0,15
6.0,194
19.0,29
16.0,152
27.0,57
27.0,73
17.0,98
9.0,25
5.0,31
30.0,24
27.0,22
44.0,186
26.0,163
1.0,40
28.0,96
31.0,122
1.0,176
30.0,106
8.0,1
15.0,39
13.0,143
11.0,69
50.0,25
9.0,147
19.0,85
15.0,74
39.0,165
35.0,161
15.0,4
31.0,101
35.0,86
35.0,119
50.0,118
2.0,147
5.0,21
1.0,161
35.0,140
34.0,85
11.0,182
8.0,5
31.0,12
8.0,123
32.0,128
39.0,22
3.0,194
7.0,30
13.0,40
19.0,155
28.0,97
29.0,170
50.0,59
18.0,6
2.0,49
26.0,189
48.0,175
24.0,34
14.0,129
14.0,54
45.0,182
49.0,80
4.0,97
24.0,36
48.0,83
38.0,165
36.0,63
4.0,83
9.0,19
40.0,107
29.0,96
40.0,72
33.0,6
14.0,199
45.0,61
1.0,3
10.0,26
